Číslo sportovního hřiště,zeměpisná šířka,zeměpisná délka,Umístění,Parc. č.,K. ú.,Popis,Počet sportovišť
CP,"50,02899580","14,51227060",Centrální park,2014/276,Chodov,multifunkční sportovní hřiště,1
1,"50,03361530","14,51646690",Brandlova 1560  1562  při ZŠ 1554,2641/1,Chodov,sportovní hřiště,1
2,"50,03801080","14,51378610",Brechtova  pod domem č 828,1179/50,Háje,multifunkční sportovní hřiště,1
3,"50,02776220","14,52270060",Konstantinova za domy č 1473  1475,2554/1,Chodov,sportovní hřiště,2
4,"50,04280500","14,49821060",Čenětická vedle domu č 3126,3490/23  2332/97,Chodov,multifunkční sportovní hřiště,1
5,"50,02892940","14,48477000",Hrabákova u domu č 1968,3341/205,Chodov,multifunkční sportovní hřiště,1
6,"50,02891220","14,48405920",Hrabákova u MŠ č 2000,3341/1,Chodov,multifunkční sportovní hřiště,1
7,"50,02899860","14,48690220",Petýrkova u domu č 1954,3341/205,Chodov,sportovní hřiště,2
7,"50,02896220","14,48582670",Petýrkova u domu č 1954,3341/205,Chodov,sportovní hřiště,2
8,"50,02688500","14,51911170",V Jezírkách 1542  5,2449/1,Chodov,multifunkční sportovní hřiště,1
9,"50,03454110","14,48496830",Hrdličkova Blatenská u MŠ,2117/340,Chodov,multifunkční sportovní hřiště,1
21,"50,02456390","14,51893720",Modletická u MŠ č 1401,2014/84 2014/533 2014/475,Chodov,sportovní hřiště,1
14,"50,03289500","14,52148280",Hviezdoslavova Prašná,2662/24 2662/2,Chodov,multifunkční sportovní hřiště,1
13,"50,03816330","14,53238860",K jezeru V Hájích,536/486  536/403  536/447  536/448,Háje,multifunkční sportovní hřiště,2
17,"50,02723140","14,52673190",Jažlovická Pražanka,2014/44,Chodov,multifunkční sportovní hřiště,1
12,"50,02433310","14,52431780",Jažlovická 1333 Bohúňova 1343,2374/1,Chodov,multifunkční sportovní hřiště,1
19,"50,02230580","14,49377420",Zlešická za domy č 1804 1809,397/655,Chodov,multifunkční sportovní hřiště,3
22,"50,02729360","14,51468610",Křejpského za domy 1525 1527,2519/1  2519/51,Chodov,multifunkční sportovní hřiště,1
24,"50,02885640","14,52425610",Konstantinova za domy 1481 1487,2554/1,Chodov,multifunkční sportovní hřiště,1
26,"50,03345000","14,47773030",Hrudičkova,3336/139,Chodov,multifunkční sportovní hřiště,1
10,"50,02851640","14,49685220",Ke Sv. Izidoru,397/3,Chodov,multifunkční sportovní hřiště,1
11,"50,03150140","14,52302750",Dopravní hřiště a SH u Modré škola,2899/48,Chodov,dopravní hřiště,1
15,"50,03293810","14,51485140",Dopravní hřiště Brandlova,2641/2,Chodov,dopravní hřiště sportovní plocha,1
16,"50,0323422",14.5237675,VAK - volnočasový areál Kupeckého,1099/1 1099/2,Háje,Pumptrack U - rampa Parkour,3
