PRGSPHRCP,Multifunkční sportovní hřiště,Počet sportovišť: 1,nah,https://praha.eu/,Praha,Praha,50.02899580,14.51227060,Centrální park,2014/276,+420 800 100 000
PRGSPHR1,Sportovní hřiště,Počet sportovišť: 1,nah,https://praha.eu/,Praha,Praha,50.03361530,14.51646690,Brandlova 1560  1562  při ZŠ 1554,2641/1,+420 800 100 000
PRGSPHR2,Multifunkční sportovní hřiště,Počet sportovišť: 1,nah,https://praha.eu/,Praha,Praha,50.03801080,14.51378610,Brechtova  pod domem č 828,1179/50,+420 800 100 000
PRGSPHR3,Sportovní hřiště,Počet sportovišť: 2,nah,https://praha.eu/,Praha,Praha,50.02776220,14.52270060,Konstantinova za domy č 1473  1475,2554/1,+420 800 100 000
PRGSPHR4,Multifunkční sportovní hřiště,Počet sportovišť: 1,nah,https://praha.eu/,Praha,Praha,50.04280500,14.49821060,Čenětická vedle domu č 3126,3490/23  2332/97,+420 800 100 000
PRGSPHR5,Multifunkční sportovní hřiště,Počet sportovišť: 1,nah,https://praha.eu/,Praha,Praha,50.02892940,14.48477000,Hrabákova u domu č 1968,3341/205,+420 800 100 000
PRGSPHR6,Multifunkční sportovní hřiště,Počet sportovišť: 1,nah,https://praha.eu/,Praha,Praha,50.02891220,14.48405920,Hrabákova u MŠ č 2000,3341/1,+420 800 100 000
PRGSPHR27,Sportovní hřiště,Počet sportovišť: 2,nah,https://praha.eu/,Praha,Praha,50.02899860,14.48690220,Petýrkova u domu č 1954,3341/205,+420 800 100 000
PRGSPHR7,Sportovní hřiště,Počet sportovišť: 2,nah,https://praha.eu/,Praha,Praha,50.02896220,14.48582670,Petýrkova u domu č 1954,3341/205,+420 800 100 000
PRGSPHR8,Multifunkční sportovní hřiště,Počet sportovišť: 1,nah,https://praha.eu/,Praha,Praha,50.02688500,14.51911170,V Jezírkách 1542  5,2449/1,+420 800 100 000
PRGSPHR9,Multifunkční sportovní hřiště,Počet sportovišť: 1,nah,https://praha.eu/,Praha,Praha,50.03454110,14.48496830,Hrdličkova Blatenská u MŠ,2117/340,+420 800 100 000
PRGSPHR21,Sportovní hřiště,Počet sportovišť: 1,nah,https://praha.eu/,Praha,Praha,50.02456390,14.51893720,Modletická u MŠ č 1401,2014/84 2014/533 2014/475,+420 800 100 000
PRGSPHR14,Multifunkční sportovní hřiště,Počet sportovišť: 1,nah,https://praha.eu/,Praha,Praha,50.03289500,14.52148280,Hviezdoslavova Prašná,2662/24 2662/2,+420 800 100 000
PRGSPHR13,Multifunkční sportovní hřiště,Počet sportovišť: 2,nah,https://praha.eu/,Praha,Praha,50.03816330,14.53238860,K jezeru V Hájích,536/486  536/403  536/447  536/448,+420 800 100 000
PRGSPHR17,Multifunkční sportovní hřiště,Počet sportovišť: 1,nah,https://praha.eu/,Praha,Praha,50.02723140,14.52673190,Jažlovická Pražanka,2014/44,+420 800 100 000
PRGSPHR12,Multifunkční sportovní hřiště,Počet sportovišť: 1,nah,https://praha.eu/,Praha,Praha,50.02433310,14.52431780,Jažlovická 1333 Bohúňova 1343,2374/1,+420 800 100 000
PRGSPHR19,Multifunkční sportovní hřiště,Počet sportovišť: 3,nah,https://praha.eu/,Praha,Praha,50.02230580,14.49377420,Zlešická za domy č 1804 1809,397/655,+420 800 100 000
PRGSPHR22,Multifunkční sportovní hřiště,Počet sportovišť: 1,nah,https://praha.eu/,Praha,Praha,50.02729360,14.51468610,Křejpského za domy 1525 1527,2519/1  2519/51,+420 800 100 000
PRGSPHR24,Multifunkční sportovní hřiště,Počet sportovišť: 1,nah,https://praha.eu/,Praha,Praha,50.02885640,14.52425610,Konstantinova za domy 1481 1487,2554/1,+420 800 100 000
PRGSPHR26,Multifunkční sportovní hřiště,Počet sportovišť: 1,nah,https://praha.eu/,Praha,Praha,50.03345000,14.47773030,Hrudičkova,3336/139,+420 800 100 000
PRGSPHR10,Multifunkční sportovní hřiště,Počet sportovišť: 1,nah,https://praha.eu/,Praha,Praha,50.02851640,14.49685220,Ke Sv. Izidoru,397/3,+420 800 100 000
PRGSPHR11,Dopravní hřiště,Počet sportovišť: 1,nah,https://praha.eu/,Praha,Praha,50.03150140,14.52302750,Dopravní hřiště a SH u Modré škola,2899/48,+420 800 100 000
PRGSPHR15,Dopravní hřiště sportovní plocha,Počet sportovišť: 1,nah,https://praha.eu/,Praha,Praha,50.03293810,14.51485140,Dopravní hřiště Brandlova,2641/2,+420 800 100 000
PRGSPHR16,Pumptrack u - rampa parkour,Počet sportovišť: 3,nah,https://praha.eu/,Praha,Praha,50.0323422,14.5237675,VAK - volnočasový areál Kupeckého,1099/1 1099/2,+420 800 100 000
